e2e time (s)	BFS	guided traversal	PPR	CoT	top-k shortest path	top-k constrained shorest path	selected	overhead	TAG
single_entity_abstract	7.82	N/A	64.79	44.34	N/A	N/A	7.82	0.83	8.65
single_entity_concrete	5.36	11.59	59.77	50.58	N/A	N/A	11.59	0.80	12.39
multi_entity_abstract	7.84	N/A	58.73	52.06	6.32	12.85	6.32	0.82	7.14
multi_entity_concrete	16.2	N/A	59.74	83.24	6.17	16.7	16.70	0.79	17.49
token counts	BFS	guided traversal	PPR	CoT	top-k shortest path	top-k constrained shorest path	selected	overhead	TAG
single_entity_abstract	6,885	N/A	61,330	36,018	N/A	N/A	6,885	521	7,406
single_entity_concrete	7,040	1,357	41,113	54,298	N/A	N/A	1,357	528	1,885
multi_entity_abstract	17,523	N/A	45,560	54,464	1,428	1,204	1,428	543	1,971
multi_entity_concrete	40,325	N/A	39,660	239,014	840	1,980	1,980	537	2,517
