e2e time (s)	BFS	guided traversal	PPR	CoT	top-k shortest path	top-k constrained shorest path	selected	overhead	TAG
single_entity_abstract	9.06	N/A	19.89	50.5	N/A	N/A	9.06	0.80	9.86
single_entity_concrete	4.73	13.05	18.39	56.66	N/A	N/A	13.05	0.83	13.88
multi_entity_abstract	8.63	N/A	17.54	49.21	6.43	13.52	6.43	0.81	7.24
multi_entity_concrete	29.32	N/A	19.5	108.01	6.48	16.31	16.31	0.79	17.10
token counts	BFS	guided traversal	PPR	CoT	top-k shortest path	top-k constrained shorest path	selected	overhead	TAG
single_entity_abstract	4,209	N/A	25,427	43,983	N/A	N/A	4,209	514	4,723
single_entity_concrete	1,682	1,517	28,706	68,211	N/A	N/A	1,517	520	2,037
multi_entity_abstract	13,277	N/A	28,853	43,498	1,021	1,225	1,021	527	1,548
multi_entity_concrete	58,673	N/A	38,960	448,029	607	1,733	1,733	536	2,269
